image_id,description,topic_fit
18173297,Handsome young man wearing suit in shop,0.447299
10529094,Young man in elegant suit with saxophone on red background,0.617399
49732276,man with red hair and beard in plaid shirt,0.80227
54378447,"young man, business, sociable speaker, businessman, in a suit with a yellow shirt, in the studio on a black background.",0.341127
52682954,a man in a business suit shows a v gesture. black and white photo,0.446139
55734666,"Excited young businessman celebrating success, keeping arms raised and expressing positivity while standing at the office",0.318154
30171344,Fiance wearing blue suit,0.355303
36476364,"athlete woman feeling happy, surprised and proud, pointing to self with an excited, amazed look",0.360301
36476269,"athlete woman feeling happy, surprised and proud, pointing to self with an excited, amazed look",0.360502
51745636,Excited brunette business woman in white shirt glasses isolated on yellow background. Achievement career wealth business concept. Mock up co,0.312335
37339998,Excited business woman in white shirt glasses isolated on yellow background. Achievement career wealth business concept. Mock up copy space.,0.300676
6962961,Business lady posing in sunglasses. woman in black business suit seriously standing with her arms crossed on white background.,0.315279
40591070,Pretty european woman in pink blouse on yellow background celebrating surprised and amazed for success with arms raised and open eyes,0.35132
37340935,Sick young business woman in white shirt posing isolated on grey background. Achievement career wealth business concept. Mock up copy space.,0.301197
