"Chinese","Fitted"
"跟踪标记","tracking marker"
"跳舞的舞者","dancer dancing"
"轻音乐","soft music"
"避火服","Fireproof clothes"
"酸梅","Sour plum"
"钻石形","Diamond shape"
"间隔休息","rest interval"
"青年女人在悬崖峭壁上攀岩","young woman climbing on a cliff"
"青年女人躺在床上睡觉","young woman lying in bed sleeping"
"面部拉皮","facelift"
"靴裤","boot pants"
"音乐指挥","music conductor"
"领带解开","Tie untied"
"饮水机","water dispenser"
"馥芮白","flat white"
"马尾草","Horsetail grass"
"骑在脖子上","ride on the neck"
"高球鸡尾酒","highball cocktail"
"40-80年代风格复兴","40s-80s revival"
"alto","alto"
"anxiously","anxiously"
"approximately","approximately"
"backcountry","backcountry"
""building"
""
"an"",""building"
""
"an""
"businessm","businessm"
"cam","cam"
"cederberg","cederberg"
"chinathis","chinathis"
"coff","coff"
"converses","converses"
"cordillera","cordillera"
"cross-checks","cross-checks"
"disgruntled","disgruntled"
"fe","fe"
"flare)","flare)"
"fo","fo"
""home"
"canadian"",""home"
"canadian""
"huayuan","huayuan"
"livestream","livestream"
"lockdown:","lockdown:"
"meditation:","meditation:"
"navigating","navigating"
"ne","ne"
"ni","ni"
"our","our"
"preparation:","preparation:"
"sealing","sealing"
""shots"
"one"",""shots"
"one""
"sinus","sinus"
"slam","slam"
"sol","sol"
"spree","spree"
"squarenot","square enot"
"strides","strides"
"tyhe","tyhe"
"wa","wa"
"wielding","wielding"
"wilder","wilder"
"下沉式浴缸","sunken bathtub"
"东方石景花园","oriental stone garden"
"主教制主义","epistemicism"
"仕女图","portrait of a lady"
"会议主持人","conference host"
"健身带子","fitness belt"
"免下车服务","drive-in service"
"兔子耳朵服装","bunny ears costume"
"入户推销","door-to-door sales"
"公司等级","company hierarchy"
"内墙软包围","soft enclosure of inner wall"
"最好将去","better to go"
"冬季运动会","winter games"
"冰帽","ice cap"
"冲压车间","press shop"
"勺形","spoon shape"
"医用防护服","medical protective clothing"
"单腿前屈头触膝","single-leg forward bending head to knee"
"单色图片","monochrome"
"单行道","one-way street"
"印度神像","Indian idols"
"厌食","anorexia"
"双十一","double eleven"
"变光开关","dimmer switch"
"器乐","instrumental music"
"四分之三背影","three-quarter back"
"围棋","go"
"国际性体育比赛","international sports competition"
"圆头冲浪板","round-toe surfboard"
"圣泥印","sacred mud seal"
"基因突变","genetic mutation"
"外幕墙","exterior curtain wall"
"大寒","great cold"
"女人微笑","woman smile"
"女仆套装","maid suits"
"婚礼蛋糕雕像","wedding cake statue"
"定制车","custom car"
"希望工程","Hope Project"
"带操","band exercise"
"帧频失调","frame rate disorder"
"年轻女人逛街购物","young woman shopping"
"年轻女子在床上休息","young woman resting in bed"
"徒步旅行的青年女人跨过石涧","young woman hiking across a rocky stream"
"戒烟","quit smoking"
"手持拍摄","handheld shot"
"手枪皮套","holster"
"挂上听筒的","hung with a receiver"
"故障艺术风格","glitch art style"
"新月甜甜圈","crescent donuts"
"无线射频识别","radio frequency identification"
"无线电控制","radio control"
"日式门帘","japanese door curtain"
"日本青酒","Japanese sake"
"更进一步","one step further"
"有凹陷的下巴","dented chin"
"机制冰淇淋","machine ice cream"
"板滑摩擦","board friction"
"检修口","access"
"樱花祭","sakura festival"
"气促","breathlessness"
"浅水滑水","water water skiing"
"浇糖浆","pour syrup"
"液晶电视","LCD TV"
"清洁服","cleaning clothes"
"滑稽的风格","funny style"
"火鸡胸","turkey breast"
"燃料罐","fuel tank"
"牙帽","tooth cap"
"独奏演员","solo performer"
"猫呼噜","cat purring"
"男妓","male prostitutes"
"登机桥","airbridge"
"真菌和霉菌","fungus and mold"
"砚","inkstone"
"硬核朋克风","hardcore punk style"
"移轴摄影","tilt-shift photography"
"稳定器拍摄","steadicam shot"
"纸帽","paper hat"
"细面条","thin noodles"
"绒毛地毯","plush carpet"
"羊绒披肩","cashmere shawl"
"耳蜗","cochlea"
"脆饼干","crackers"
"脸盔","face helmet"
"自然的窗子","natural window"
"自由体操","floor exercise"
"舞台布景","stage set"
"苏打水","soda water"
"苦啤酒","bitter beer"
"英国哑剧","British pantomime"
"茶壶保温套","teapot thermos"
"螺旋桨飞机","propeller plane"
"裁缝样式","tailor pattern"
"西南方向","southwest"
"设置时钟","set the clock"
"透明质酸","hyaluronic acid"
"遗忘","forgetfulness"
"采茶","tea picking"
"采蘑菇","mushroom picking"
"金融版","financial edition"
"钨的视觉图","tungsten visual"
"铝厂","aluminum plant"
"销售二手车","sell used cars"
"闪烁光效果","flash effect"
"露出肚子","show belly"
"青年女人在公园跑步","young woman running in the park"
"面向陆地","landward"
"预选","preliminary"
"风湿热","rheumatic fever"
"驱离租屋","eviction from rented houses"
"驼鸟政策","ostrich policy"
"鹅式展翅瑜珈姿势","goose wings yoga pose"
